#  b = [b0:  0.02868000, b1:  0.00080000, b2: -0.02788000]
#  a = [a0:  1.00000000, a1: -2.00000000, a2:  1.00000000]
#  index      real(x)      imag(x)      real(y)      imag(y)        error
     193  -0.52560413   0.85072929   0.13629070   0.99066889   0.69014132
     194  -0.99115884  -0.13268042   0.12687662   0.99191850   1.83108866
     195  -0.28334421  -0.95901829   0.05013207   0.99874258   2.90446639
     196   0.75990349  -0.65003592  -0.09230299   0.99573094  -2.37086248
     197   0.90355015   0.42848229  -0.11802628   0.99301046  -1.24628592
     198  -0.02245826   0.99974775  -0.02554679   0.99967360  -0.00308942
     199  -0.92187983   0.38747597   0.00218518   0.99999762   1.17508948
     200  -0.72994697  -0.68350381  -0.03851193   0.99925816   2.28482699
     201   0.32612330  -0.94532722  -0.14526917   0.98939216  -2.95517778
     202   0.99611706  -0.08803839  -0.13692872   0.99058092  -1.79630911
     203   0.48687175   0.87347347  -0.01135293   0.99993557  -0.51985794
     204  -0.59874982   0.80093610   0.04859091   0.99881876   0.69054937
     205  -0.97554988  -0.21977817   0.03909195   0.99923563   1.83148527
     206  -0.19745898  -0.98031116  -0.03797064   0.99927884   2.90484762
     207   0.81439096  -0.58031660  -0.17960657   0.98373854  -2.37050033
     208   0.86213565   0.50667751  -0.20500539   0.97876084  -1.24593902
     209  -0.11074676   0.99384868  -0.11348510   0.99353969  -0.00275572
     210  -0.95252317   0.30446610  -0.08590081   0.99630368   1.17541170
     211  -0.66666847  -0.74535435  -0.12638786   0.99198091   2.28513575
     212   0.40841228  -0.91279757  -0.23187396   0.97274584  -2.95488238
     213   0.99999994   0.00036173  -0.22368741   0.97466093  -1.79603064
     214   0.40775180   0.91309279  -0.09943588   0.99504399  -0.51959103
     215  -0.66720754   0.74487185  -0.03964212   0.99921393   0.69080102
     216  -0.95230263  -0.30515513  -0.04915227   0.99879128   1.83172548
     217  -0.11002772  -0.99392849  -0.12592620   0.99203962   2.90508032
     218   0.86250198  -0.50605369  -0.26564592   0.96407068  -2.37027335
     219   0.81397086   0.58090568  -0.29051241   0.95687121  -1.24571764
     220  -0.19816814   0.98016804  -0.20066486   0.97965997  -0.00254789
     221  -0.97570860   0.21907233  -0.17344122   0.98484421   1.17560995
     222  -0.59817022  -0.80136907  -0.21340224   0.97696441   2.28532076
     223   0.48750353  -0.87312102  -0.31679115   0.94849533  -2.95470881
     224   0.99605310   0.08875902  -0.30880910   0.95112401  -1.79586101
     225   0.32543927   0.94556296  -0.18684803   0.98238885  -0.51942897
     226  -0.73044127   0.68297553  -0.12766111   0.99181783   0.69095737
     227  -0.92159921  -0.38814282  -0.13710254   0.99055684   1.83187616
     228  -0.02173497  -0.99976379  -0.21299414   0.97705346   2.90521765
     229   0.90385991  -0.42782849  -0.34971070   0.93685776  -2.37014747
     230   0.75943303   0.65058547  -0.37385699   0.92748636  -1.24560523
     231  -0.28403795   0.95881301  -0.28637955   0.95811623  -0.00244308
     232  -0.99125463   0.13196331  -0.25972918   0.96568149   1.17570519
     233  -0.52498847  -0.85110933  -0.29884192   0.95430261   2.28541231
     234   0.56277782  -0.82660818  -0.39931637   0.91681319  -2.95462132
     235   0.98430759   0.17646135  -0.39160642   0.92013282  -1.79578292
     236   0.24057870   0.97062963  -0.27289063   0.96204507  -0.51935846
     237  -0.78795588   0.61573172  -0.21477537   0.97666347   0.69102025
     238  -0.88367999  -0.46809149  -0.22407407   0.97457212   1.83193326
     239   0.06672794  -0.99777120  -0.29847786   0.95441657   2.90527272
     240   0.93814099  -0.34625357  -0.43111056   0.90229911  -2.37009430
     241   0.69894904   0.71517146  -0.45433450   0.89083117  -1.24555194
     242  -0.36768383   0.92995083  -0.36990866   0.92906815  -0.00239352
     243  -0.99903941   0.04382107  -0.34403089   0.93895835   1.17575479
     244  -0.44769630  -0.89418566  -0.38199243   0.92416549   2.28545403
     245   0.63364577  -0.77362335  -0.47876480   0.87794322  -2.95458317
     246   0.96485519   0.26278207  -0.47138003   0.88193017  -1.79574668
     247   0.15383446   0.98809665  -0.35683921   0.93416584  -0.51932991
     248  -0.83930105   0.54366696  -0.30024859   0.95386100   0.69104302
     249  -0.83884186  -0.54437518  -0.30933696   0.95095247   1.83194458
     250   0.15466841  -0.98796642  -0.38167509   0.92429656   2.90527654
     251   0.96507668  -0.26196760  -0.50919318   0.86065227  -2.37010384
     252   0.63299257   0.77415788  -0.53131396   0.84717500  -1.24556351
     253  -0.44845086   0.89380747  -0.45060435   0.89272374  -0.00241080
     254  -0.99900204  -0.04466428  -0.42570409   0.90486240   1.17573559
     255  -0.36689878  -0.93026090  -0.46220732   0.88677192   2.28543687
     256   0.69955242  -0.71458125  -0.55451864   0.83217126  -2.95460606
     257   0.93784839   0.34704527  -0.54751694   0.83679456  -1.79577160
     258   0.06588576   0.99782717  -0.43804708   0.89895201  -0.51935858
     259  -0.88407481   0.46734545  -0.38342679   0.92357129   0.69100678
     260  -0.78743589  -0.61639655  -0.39221710   0.91987270   1.83191407
     261   0.24139787  -0.97042620  -0.46191299   0.88692522   2.90524793
     262   0.98445618  -0.17563049  -0.58330053   0.81225640  -2.37012863
     263   0.56207991   0.82708293  -0.60414749   0.79687250  -1.24559402
     264  -0.52570671   0.85066593  -0.52778029   0.84938091  -0.00243947
     265  -0.99114287  -0.13279992  -0.50406086   0.86366814   1.17569554
